Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
-0.188817,51.595622,1,Slight,2,1,2005-01-15,7,22:40:00,30,E09000003,6,0,6,30,3,4,3,504,0,0,4,1,1,0,0,1,1,E01000197
-0.195667,51.572167,1,Slight,1,1,2005-01-11,3,00:43:00,30,E09000003,3,598,6,30,0,-1,-1,0,0,1,4,1,1,0,0,1,1,E01000144
-0.2088,51.652851,1,Slight,2,2,2005-01-12,4,07:43:00,30,E09000003,3,411,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000294
-0.218765,51.649405,1,Slight,2,1,2005-01-16,1,10:25:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000286
-0.20091,51.633036,1,Slight,2,1,2005-01-16,1,12:50:00,30,E09000003,3,5109,6,30,3,4,3,5109,0,0,1,1,1,0,0,2,1,E01000279
-0.201786,51.654722,1,Slight,2,1,2005-01-18,3,15:10:00,30,E09000003,3,1000,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01000250
-0.217193,51.652619,1,Slight,2,1,2005-01-18,3,08:20:00,30,E09000003,3,411,6,30,3,4,6,0,0,0,1,1,1,0,0,1,3,E01000249
-0.237677,51.601581,1,Slight,3,1,2005-01-25,3,23:40:00,30,E09000003,1,1,3,40,0,-1,-1,0,0,0,4,2,2,0,0,1,2,E01000240
-0.199666,51.591472,1,Slight,2,2,2005-01-19,4,09:09:00,30,E09000003,3,598,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000203
-0.24398,51.606621,1,Slight,1,1,2005-01-19,4,21:55:00,30,E09000003,5,0,1,30,1,4,6,0,0,0,4,1,1,0,0,1,1,E01000152
-0.244183,51.616336,1,Slight,2,1,2005-02-19,7,08:15:00,30,E09000003,3,1,1,40,1,2,3,1,0,5,1,1,1,0,0,1,2,E01000264
-0.263272,51.596837,1,Slight,2,1,2005-01-19,4,19:05:00,30,E09000003,3,5,6,30,3,4,5,0,0,0,4,1,2,0,0,1,1,E01000587
-0.245013,51.650969,1,Slight,2,1,2005-01-20,5,17:00:00,30,E09000003,5,0,6,30,0,-1,-1,0,0,0,4,1,2,0,0,2,1,E01000253
-0.17677,51.615219,1,Slight,1,1,2005-01-20,5,13:20:00,30,E09000003,3,1000,6,30,3,2,6,0,0,5,1,1,2,0,0,1,1,E01000299
-0.248601,51.584119,1,Slight,1,1,2005-01-20,5,08:00:00,30,E09000003,3,4006,6,30,3,2,3,5,0,5,1,2,2,0,0,1,1,E01000312
-0.204752,51.575993,1,Slight,2,1,2005-01-20,5,10:05:00,30,E09000003,3,502,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01000220
-0.28173,51.612755,1,Slight,2,1,2005-01-20,5,09:50:00,30,E09000003,3,5,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01002116
-0.175207,51.607371,1,Slight,2,1,2005-01-16,1,11:00:00,30,E09000003,5,0,6,30,6,2,3,1000,0,5,1,1,1,0,0,1,1,E01000316
-0.274178,51.621457,1,Slight,2,1,2005-01-16,1,20:26:00,30,E09000003,3,41,3,50,6,2,3,41,0,0,1,1,1,0,0,1,1,E01000191
-0.186487,51.646843,1,Slight,1,1,2005-01-20,5,14:39:00,30,E09000003,3,110,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000268
-0.198775,51.573833,1,Slight,2,3,2005-01-23,1,18:20:00,30,E09000003,5,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,2,E01000144
-0.239344,51.577147,1,Slight,2,1,2005-01-23,1,03:00:00,30,E09000003,3,5,6,30,3,4,6,0,0,0,4,1,1,0,0,1,2,E01000305
-0.271671,51.603795,1,Slight,1,1,2005-01-22,7,21:00:00,30,E09000003,3,5,6,30,3,4,6,0,0,4,4,1,1,0,0,1,3,E01002123
-0.206555,51.566848,1,Slight,2,1,2005-01-24,2,09:15:00,30,E09000003,3,41,3,40,6,2,3,41,0,5,1,1,2,0,0,1,1,E01000135
-0.193382,51.582473,1,Serious,2,2,2005-01-24,2,11:20:00,30,E09000003,6,0,6,30,6,4,6,0,0,0,1,1,2,0,0,1,1,E01000209
-0.277657,51.621149,1,Slight,1,1,2005-01-24,2,07:56:00,30,E09000003,3,41,6,30,6,2,5,0,0,5,1,8,2,0,0,1,1,E01000191
-0.257173,51.609066,1,Slight,2,1,2005-01-28,6,20:47:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000127
-0.175633,51.611154,1,Slight,1,1,2005-01-27,5,08:29:00,30,E09000003,3,1000,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000299
-0.265231,51.598485,1,Slight,1,1,2005-01-25,3,15:14:00,30,E09000003,3,5,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01000592
-0.239151,51.638112,1,Slight,1,1,2005-01-28,6,17:58:00,30,E09000003,4,552,6,30,0,-1,-1,0,0,0,4,2,2,0,0,2,1,E01000228
-0.212415,51.652816,1,Slight,1,1,2005-01-30,1,01:10:00,30,E09000003,3,411,6,30,3,4,6,0,0,1,4,1,1,0,0,1,1,E01000248
-0.213944,51.580809,1,Slight,2,1,2005-01-27,5,13:03:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01000311
-0.183096,51.612349,1,Slight,2,4,2005-01-29,7,16:31:00,30,E09000003,5,0,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01000302
-0.197861,51.589646,1,Slight,3,1,2005-01-27,5,09:39:00,30,E09000003,3,406,3,50,7,2,6,0,0,0,1,8,2,0,0,1,1,E01000203
-0.276211,51.613574,1,Slight,1,1,2005-01-28,6,12:32:00,30,E09000003,3,5100,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01000193
-0.212205,51.580963,1,Slight,2,1,2005-01-31,2,08:40:00,30,E09000003,3,406,3,40,6,2,3,502,0,5,1,1,1,0,0,1,2,E01000311
-0.1754,51.631384,1,Slight,1,1,2005-01-27,5,08:29:00,30,E09000003,3,1000,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01000281
-0.221373,51.608619,1,Slight,1,1,2005-01-27,5,17:30:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,7,9,1,0,0,1,1,E01000259
-0.197491,51.646383,1,Slight,2,1,2005-01-26,4,09:05:00,30,E09000003,5,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,2,E01000293
-0.201224,51.573961,1,Slight,4,1,2005-01-28,6,11:06:00,30,E09000003,3,502,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01000145
-0.217859,51.576642,1,Slight,2,1,2005-01-31,2,19:50:00,30,E09000003,3,41,1,30,1,4,3,406,0,0,4,1,1,0,0,1,1,E01000221
-0.230509,51.585377,1,Slight,2,1,2005-01-27,5,14:10:00,30,E09000003,3,41,3,40,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01000309
-0.183694,51.593744,1,Slight,1,1,2005-01-30,1,18:36:00,30,E09000003,3,504,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000210
-0.208663,51.634324,1,Slight,2,2,2005-01-30,1,17:40:00,30,E09000003,3,5109,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01000279
-0.229706,51.568908,1,Slight,2,2,2005-01-24,2,13:30:00,30,E09000003,3,5,3,30,3,4,6,0,0,0,1,8,2,0,0,1,1,E01000223
-0.209404,51.586136,1,Slight,2,2,2005-01-30,1,15:30:00,30,E09000003,5,0,6,30,5,2,3,406,0,0,1,1,1,0,0,1,2,E01000225
-0.170456,51.585445,1,Slight,1,1,2005-01-28,6,15:00:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01000208
-0.150778,51.632797,1,Slight,1,1,2005-01-27,5,00:10:00,30,E09000003,5,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01000118
-0.16392,51.647301,1,Slight,2,1,2005-01-19,4,16:20:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000170
-0.149354,51.61452,1,Slight,2,1,2005-01-25,3,08:30:00,30,E09000003,3,1003,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,3,E01000161
-0.221312,51.588025,1,Slight,2,1,2005-01-25,3,09:45:00,30,E09000003,3,502,6,30,7,4,6,0,0,0,1,1,1,0,0,1,3,E01000245
-0.267461,51.600586,1,Slight,2,1,2005-02-01,3,10:45:00,30,E09000003,3,5,6,30,3,2,6,0,0,5,1,1,1,0,0,1,1,E01002123
-0.232362,51.582257,1,Slight,2,1,2005-02-01,3,16:03:00,30,E09000003,5,0,6,30,6,4,6,0,0,0,1,2,2,0,0,1,1,E01000314
-0.218714,51.584299,1,Slight,2,1,2005-02-01,3,18:09:00,30,E09000003,3,502,1,30,2,4,4,551,0,0,4,2,2,0,0,1,1,E01000237
-0.173482,51.571194,1,Slight,2,1,2005-02-01,3,09:36:00,30,E09000003,4,519,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01000206
-0.285385,51.615417,1,Slight,2,1,2005-02-01,3,18:30:00,30,E09000003,3,5,6,30,0,-1,-1,0,0,0,4,8,2,0,0,1,1,E01002116
-0.217997,51.576824,1,Slight,8,1,2005-02-01,3,06:52:00,30,E09000003,3,406,3,40,5,4,3,41,0,0,4,1,2,0,0,1,1,E01000219
-0.244587,51.590894,1,Slight,2,1,2005-02-01,3,13:37:00,30,E09000003,3,5150,1,30,2,4,6,0,0,0,1,1,1,0,0,1,1,E01000147
-0.279351,51.610742,1,Slight,2,1,2005-02-05,7,22:44:00,30,E09000003,3,5,6,30,6,2,3,5100,0,5,4,1,1,0,0,1,1,E01000194
-0.228089,51.617893,1,Slight,1,1,2005-02-08,3,15:15:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,3,E01000255
-0.251488,51.648009,1,Slight,2,2,2005-02-02,4,17:12:00,30,E09000003,3,1,3,40,3,4,6,0,0,0,4,1,1,0,0,2,3,E01000253
-0.180425,51.610509,1,Slight,2,1,2005-02-09,4,09:05:00,30,E09000003,3,598,6,30,7,4,5,0,0,0,1,1,1,0,0,1,1,E01000302
-0.176114,51.61359,1,Slight,1,1,2005-02-08,3,00:01:00,30,E09000003,3,1000,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000299
-0.199936,51.584642,1,Slight,1,1,2005-02-10,5,16:42:00,30,E09000003,3,598,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01000211
-0.253546,51.590668,1,Slight,2,1,2005-02-12,7,10:00:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01000147
-0.265088,51.61359,1,Slight,2,1,2005-02-08,3,22:05:00,30,E09000003,3,5109,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000227
-0.256403,51.610314,1,Slight,2,1,2005-02-01,3,15:28:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000132
-0.255409,51.62118,1,Slight,2,1,2005-02-09,4,16:24:00,30,E09000003,3,5109,3,40,1,4,3,41,0,0,1,1,1,0,0,1,1,E01000232
-0.227406,51.572381,1,Slight,2,1,2005-02-09,4,16:30:00,30,E09000003,3,406,1,30,1,2,1,1,0,5,1,1,1,0,0,1,3,E01000221
-0.166581,51.645814,1,Slight,2,1,2005-02-13,1,18:53:00,30,E09000003,3,110,6,30,3,4,3,110,0,0,4,1,2,0,0,1,1,E01000170
-0.205764,51.64552,1,Serious,1,1,2005-02-10,5,10:51:00,30,E09000003,5,0,6,30,0,-1,-1,0,0,1,1,1,2,0,0,1,1,E01000291
-0.180004,51.639099,1,Slight,2,1,2005-02-13,1,10:10:00,30,E09000003,3,1000,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01000271
-0.255549,51.591147,1,Slight,2,1,2005-02-15,3,11:25:00,30,E09000003,3,5,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000148
-0.178946,51.611386,1,Slight,3,1,2005-02-21,2,12:30:00,30,E09000003,3,598,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01000302
-0.197238,51.598089,1,Slight,4,1,2005-02-16,4,09:35:00,30,E09000003,3,598,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000196
-0.206867,51.588255,1,Slight,2,1,2005-02-21,2,00:05:00,30,E09000003,3,406,3,40,3,2,3,1,0,0,4,2,2,0,0,1,1,E01000225
-0.164311,51.587507,1,Slight,2,1,2005-02-13,1,21:36:00,30,E09000003,3,1000,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,2,E01000182
-0.225806,51.572716,1,Slight,2,1,2005-02-23,4,23:00:00,30,E09000003,3,406,6,40,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000221
-0.22571,51.608505,1,Slight,1,1,2005-02-06,1,18:45:00,30,E09000003,5,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000260
-0.156678,51.629832,1,Slight,1,1,2005-02-07,2,10:00:00,30,E09000003,4,1453,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000118
-0.153884,51.613242,1,Slight,1,1,2005-02-12,7,02:15:00,30,E09000003,3,1003,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01000161
-0.216146,51.576167,1,Slight,2,1,2005-02-02,4,20:30:00,30,E09000003,6,0,6,30,3,4,3,41,0,0,4,1,1,0,0,1,2,E01000221
-0.160871,51.611913,1,Slight,2,1,2005-02-14,2,07:50:00,30,E09000003,3,1003,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01000162
-0.193319,51.587688,1,Slight,2,2,2005-02-06,1,07:30:00,30,E09000003,3,1,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000211
-0.256133,51.590976,1,Slight,2,1,2005-02-15,3,18:30:00,30,E09000003,3,5,6,30,3,4,3,5150,0,0,4,1,1,0,0,1,1,E01000516
-0.229545,51.573042,1,Slight,2,1,2005-02-15,3,15:25:00,30,E09000003,3,406,1,30,1,4,1,1,0,0,1,1,1,0,0,1,2,E01000307
-0.254467,51.623144,1,Slight,2,1,2005-02-17,5,07:20:00,30,E09000003,3,1,3,50,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000231
-0.147471,51.607566,1,Slight,2,1,2005-02-16,4,16:39:00,30,E09000003,3,406,3,50,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000163
-0.233565,51.599631,1,Slight,1,1,2005-02-11,6,21:37:00,30,E09000003,3,41,3,40,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01000240
-0.184143,51.644019,1,Slight,1,1,2005-02-19,7,16:27:00,30,E09000003,3,1000,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000269
